"","scoring_run_bucketed","coach_exp_bucketed","time_since_last_break_bucketed","point_diff_bucketed","treatment","num"
"325","(-0.8,4.5]","(18.6,20.8]","(275,321]","(8.8,17.6]",1,1
"326","(-0.8,4.5]","(18.6,20.8]","(321,367]","(-35.2,-26.4]",1,1
"327","(-0.8,4.5]","(18.6,20.8]","(321,367]","(-17.6,-8.8]",1,1
"328","(-0.8,4.5]","(18.6,20.8]","(321,367]","(8.8,17.6]",1,1
"329","(-0.8,4.5]","(20.8,23]","(138,184]","(17.6,26.4]",1,1
"330","(-0.8,4.5]","(20.8,23]","(275,321]","(-17.6,-8.8]",1,1
"331","(-0.8,4.5]","(20.8,23]","(275,321]","(8.8,17.6]",1,1
"332","(-0.8,4.5]","(20.8,23]","(275,321]","(17.6,26.4]",1,1
"333","(4.5,9.8]","(0.978,3.2]","(321,367]","(-17.6,-8.8]",1,1
"334","(4.5,9.8]","(0.978,3.2]","(321,367]","(26.4,35.2]",1,1
"335","(4.5,9.8]","(3.2,5.4]","(92.4,138]","(-26.4,-17.6]",1,1
"336","(4.5,9.8]","(3.2,5.4]","(321,367]","(-35.2,-26.4]",1,1
"337","(4.5,9.8]","(3.2,5.4]","(321,367]","(-8.8,0]",1,1
"338","(4.5,9.8]","(3.2,5.4]","(321,367]","(35.2,44.1]",1,1
"339","(4.5,9.8]","(5.4,7.6]","(275,321]","(26.4,35.2]",1,1
"340","(4.5,9.8]","(5.4,7.6]","(321,367]","(-8.8,0]",1,1
"341","(4.5,9.8]","(5.4,7.6]","(321,367]","(26.4,35.2]",1,1
"342","(4.5,9.8]","(7.6,9.8]","(46.7,92.4]","(-8.8,0]",1,1
"343","(4.5,9.8]","(7.6,9.8]","(92.4,138]","(-8.8,0]",1,1
"344","(4.5,9.8]","(7.6,9.8]","(275,321]","(-26.4,-17.6]",1,1
"345","(4.5,9.8]","(7.6,9.8]","(275,321]","(-8.8,0]",1,1
"346","(4.5,9.8]","(9.8,12]","(321,367]","(8.8,17.6]",1,1
"347","(4.5,9.8]","(9.8,12]","(321,367]","(26.4,35.2]",1,1
"348","(4.5,9.8]","(14.2,16.4]","(92.4,138]","(-17.6,-8.8]",1,1
"349","(4.5,9.8]","(14.2,16.4]","(275,321]","(17.6,26.4]",1,1
"350","(4.5,9.8]","(14.2,16.4]","(321,367]","(-8.8,0]",1,1
"351","(4.5,9.8]","(16.4,18.6]","(138,184]","(-8.8,0]",1,1
"352","(4.5,9.8]","(16.4,18.6]","(138,184]","(0,8.8]",1,1
"353","(4.5,9.8]","(18.6,20.8]","(138,184]","(-26.4,-17.6]",1,1
"354","(4.5,9.8]","(18.6,20.8]","(138,184]","(0,8.8]",1,1
"355","(4.5,9.8]","(18.6,20.8]","(184,230]","(-8.8,0]",1,1
"356","(4.5,9.8]","(18.6,20.8]","(275,321]","(-35.2,-26.4]",1,1
"357","(4.5,9.8]","(18.6,20.8]","(275,321]","(17.6,26.4]",1,1
"358","(4.5,9.8]","(18.6,20.8]","(275,321]","(26.4,35.2]",1,1
"359","(4.5,9.8]","(20.8,23]","(184,230]","(-8.8,0]",1,1
"360","(4.5,9.8]","(20.8,23]","(275,321]","(26.4,35.2]",1,1
"361","(9.8,15.1]","(0.978,3.2]","(0.543,46.7]","(0,8.8]",1,1
"362","(9.8,15.1]","(0.978,3.2]","(321,367]","(0,8.8]",1,1
"363","(9.8,15.1]","(3.2,5.4]","(230,275]","(-8.8,0]",1,1
"364","(9.8,15.1]","(5.4,7.6]","(184,230]","(-8.8,0]",1,1
"365","(9.8,15.1]","(5.4,7.6]","(230,275]","(0,8.8]",1,1
"366","(9.8,15.1]","(5.4,7.6]","(321,367]","(0,8.8]",1,1
"367","(9.8,15.1]","(7.6,9.8]","(92.4,138]","(0,8.8]",1,1
"368","(9.8,15.1]","(7.6,9.8]","(184,230]","(0,8.8]",1,1
"369","(9.8,15.1]","(7.6,9.8]","(230,275]","(0,8.8]",1,1
"370","(9.8,15.1]","(9.8,12]","(46.7,92.4]","(0,8.8]",1,1
"371","(9.8,15.1]","(14.2,16.4]","(230,275]","(0,8.8]",1,1
"372","(9.8,15.1]","(14.2,16.4]","(275,321]","(0,8.8]",1,1
"373","(9.8,15.1]","(16.4,18.6]","(46.7,92.4]","(-8.8,0]",1,1
"374","(9.8,15.1]","(16.4,18.6]","(184,230]","(0,8.8]",1,1
"375","(9.8,15.1]","(16.4,18.6]","(230,275]","(0,8.8]",1,1
"376","(9.8,15.1]","(18.6,20.8]","(46.7,92.4]","(-8.8,0]",1,1
"377","(9.8,15.1]","(18.6,20.8]","(46.7,92.4]","(0,8.8]",1,1
"378","(9.8,15.1]","(18.6,20.8]","(184,230]","(0,8.8]",1,1
"379","(9.8,15.1]","(18.6,20.8]","(275,321]","(0,8.8]",1,1
"380","(9.8,15.1]","(20.8,23]","(184,230]","(0,8.8]",1,1
"381","(15.1,20.4]","(0.978,3.2]","(138,184]","(0,8.8]",1,1
"382","(15.1,20.4]","(3.2,5.4]","(46.7,92.4]","(0,8.8]",1,1
"383","(15.1,20.4]","(3.2,5.4]","(92.4,138]","(0,8.8]",1,1
"384","(15.1,20.4]","(5.4,7.6]","(184,230]","(8.8,17.6]",1,1
"385","(15.1,20.4]","(7.6,9.8]","(138,184]","(0,8.8]",1,1
"386","(15.1,20.4]","(9.8,12]","(138,184]","(0,8.8]",1,1
"387","(15.1,20.4]","(14.2,16.4]","(138,184]","(0,8.8]",1,1
"388","(15.1,20.4]","(14.2,16.4]","(184,230]","(0,8.8]",1,1
"389","(15.1,20.4]","(14.2,16.4]","(230,275]","(0,8.8]",1,1
"390","(15.1,20.4]","(14.2,16.4]","(275,321]","(0,8.8]",1,1
"391","(15.1,20.4]","(16.4,18.6]","(46.7,92.4]","(0,8.8]",1,1
"392","(15.1,20.4]","(16.4,18.6]","(92.4,138]","(0,8.8]",1,1
"393","(15.1,20.4]","(18.6,20.8]","(92.4,138]","(0,8.8]",1,1
"394","(15.1,20.4]","(18.6,20.8]","(138,184]","(0,8.8]",1,1
"395","(15.1,20.4]","(18.6,20.8]","(275,321]","(0,8.8]",1,1
"396","(15.1,20.4]","(20.8,23]","(138,184]","(0,8.8]",1,1
"397","(15.1,20.4]","(20.8,23]","(230,275]","(0,8.8]",1,1
"398","(20.4,25.7]","(0.978,3.2]","(138,184]","(0,8.8]",1,1
"399","(20.4,25.7]","(3.2,5.4]","(275,321]","(0,8.8]",1,1
"400","(20.4,25.7]","(5.4,7.6]","(138,184]","(8.8,17.6]",1,1
"401","(20.4,25.7]","(5.4,7.6]","(184,230]","(0,8.8]",1,1
"402","(20.4,25.7]","(5.4,7.6]","(230,275]","(0,8.8]",1,1
"403","(20.4,25.7]","(9.8,12]","(138,184]","(0,8.8]",1,1
"404","(20.4,25.7]","(14.2,16.4]","(46.7,92.4]","(0,8.8]",1,1
"405","(20.4,25.7]","(14.2,16.4]","(275,321]","(0,8.8]",1,1
"406","(25.7,31.1]","(5.4,7.6]","(92.4,138]","(8.8,17.6]",1,1
