DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800050,10/23/18,8:00 PM,LA Clippers,New Orleans,240,109,116,1,3+,Box Score
NBA 2018-2019 Regular Season,0021800051,10/23/18,9:00 PM,Sacramento,Denver,240,112,126,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800052,10/24/18,7:00 PM,Dallas,Atlanta,240,104,111,1,2,Box Score
NBA 2018-2019 Regular Season,0021800053,10/24/18,7:00 PM,Brooklyn,Cleveland,240,102,86,3+,2,Box Score
NBA 2018-2019 Regular Season,0021800054,10/24/18,7:30 PM,New York,Miami,240,87,110,1,3+,Box Score
NBA 2018-2019 Regular Season,0021800055,10/24/18,7:30 PM,Minnesota,Toronto,240,105,112,1,1,Box Score
NBA 2018-2019 Regular Season,0021800056,10/24/18,8:00 PM,Charlotte,Chicago,240,110,112,1,1,Box Score
NBA 2018-2019 Regular Season,0021800057,10/24/18,8:00 PM,Utah,Houston,240,100,89,1,2,Box Score
NBA 2018-2019 Regular Season,0021800058,10/24/18,8:30 PM,Indiana,San Antonio,240,116,96,1,1,Box Score
NBA 2018-2019 Regular Season,0021800059,10/24/18,9:30 PM,Philadelphia,Milwaukee,240,108,123,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800060,10/24/18,10:00 PM,LA Lakers,Phoenix,240,131,113,1,1,Box Score
NBA 2018-2019 Regular Season,0021800061,10/24/18,10:00 PM,Memphis,Sacramento,240,92,97,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800062,10/24/18,10:30 PM,Washington,Golden State,240,122,144,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800063,10/25/18,7:00 PM,Cleveland,Detroit,240,103,110,B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800064,10/25/18,7:00 PM,Portland,Orlando,240,128,114,2,2,Box Score
NBA 2018-2019 Regular Season,0021800065,10/25/18,8:00 PM,Boston,Oklahoma City,240,101,95,2,3+,Box Score
NBA 2018-2019 Regular Season,0021800066,10/25/18,10:30 PM,Denver,LA Lakers,240,114,121,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800067,10/26/18,7:00 PM,Chicago,Charlotte,240,106,135,1,1,Box Score
NBA 2018-2019 Regular Season,0021800068,10/26/18,7:30 PM,Golden State,New York,240,128,100,1,1,Box Score
NBA 2018-2019 Regular Season,0021800069,10/26/18,7:30 PM,Dallas,Toronto,240,107,116,1,1,Box Score
NBA 2018-2019 Regular Season,0021800070,10/26/18,8:00 PM,LA Clippers,Houston,240,133,113,2,1,Box Score
NBA 2018-2019 Regular Season,0021800071,10/26/18,8:00 PM,Milwaukee,Minnesota,240,125,95,1,1,Box Score
NBA 2018-2019 Regular Season,0021800072,10/26/18,8:00 PM,Brooklyn,New Orleans,240,115,117,1,2,Box Score
NBA 2018-2019 Regular Season,0021800073,10/26/18,10:00 PM,Washington,Sacramento,240,112,116,1,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800074,10/27/18,7:00 PM,Boston,Detroit,240,109,89,1,1,Box Score
NBA 2018-2019 Regular Season,0021800075,10/27/18,7:00 PM,Utah,New Orleans,240,132,111,2,B2B,Box Score
NBA 2018-2019 Regular Season,0021800076,10/27/18,7:30 PM,Chicago,Atlanta,240,97,85,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800077,10/27/18,7:30 PM,Indiana,Cleveland,240,119,107,2,3IN4,Box Score
